"","Survived","Pclass","Sex","Age","Embarked","TamFamilia"
"813",0,"2","male",35,"S",1
"814",0,"3","female",6,"S",7
"815",0,"3","male",30.5,"S",1
"816",0,"1","male",39,"S",1
"817",0,"3","female",23,"S",1
"818",0,"2","male",31,"C",3
"819",0,"3","male",43,"S",1
"820",0,"3","male",10,"S",6
"821",1,"1","female",52,"S",3
"822",1,"3","male",27,"S",1
"823",0,"1","male",38,"S",1
"824",1,"3","female",27,"S",2
"825",0,"3","male",2,"S",6
"826",0,"3","male",35,"Q",1
"827",0,"3","male",28,"S",1
"828",1,"2","male",1,"C",3
"829",1,"3","male",22,"Q",1
"830",1,"1","female",62,"S",1
"831",1,"3","female",15,"C",2
"832",1,"2","male",0.83,"S",3
"833",0,"3","male",28.5,"C",1
"834",0,"3","male",23,"S",1
"835",0,"3","male",18,"S",1
"836",1,"1","female",39,"C",3
"837",0,"3","male",21,"S",1
"838",0,"3","male",24,"S",1
"839",1,"3","male",32,"S",1
"840",1,"1","male",27,"C",1
"841",0,"3","male",20,"S",1
"842",0,"2","male",16,"S",1
"843",1,"1","female",30,"C",1
"844",0,"3","male",34.5,"C",1
"845",0,"3","male",17,"S",1
"846",0,"3","male",42,"S",1
"847",0,"3","male",11,"S",11
"848",0,"3","male",35,"C",1
"849",0,"2","male",28,"S",2
"850",1,"1","female",35,"C",2
"851",0,"3","male",4,"S",7
"852",0,"3","male",74,"S",1
"853",0,"3","female",9,"C",3
"854",1,"1","female",16,"S",2
"855",0,"2","female",44,"S",2
"856",1,"3","female",18,"S",2
"857",1,"1","female",45,"S",3
"858",1,"1","male",51,"S",1
"859",1,"3","female",24,"C",4
"860",0,"3","male",28.5,"C",1
"861",0,"3","male",41,"S",3
"862",0,"2","male",21,"S",2
"863",1,"1","female",48,"S",1
"864",0,"3","female",11,"S",11
"865",0,"2","male",24,"S",1
"866",1,"2","female",42,"S",1
"867",1,"2","female",27,"C",2
"868",0,"1","male",31,"S",1
"869",0,"3","male",28,"S",1
"870",1,"3","male",4,"S",3
"871",0,"3","male",26,"S",1
"872",1,"1","female",47,"S",3
"873",0,"1","male",33,"S",1
"874",0,"3","male",47,"S",1
"875",1,"2","female",28,"C",2
"876",1,"3","female",15,"C",1
"877",0,"3","male",20,"S",1
"878",0,"3","male",19,"S",1
"879",0,"3","male",33,"S",1
"880",1,"1","female",56,"C",2
"881",1,"2","female",25,"S",2
"882",0,"3","male",33,"S",1
"883",0,"3","female",22,"S",1
"884",0,"2","male",28,"S",1
"885",0,"3","male",25,"S",1
"886",0,"3","female",39,"Q",6
"887",0,"2","male",27,"S",1
"888",1,"1","female",19,"S",1
"889",0,"3","female",26,"S",4
"890",1,"1","male",26,"C",1
"891",0,"3","male",32,"Q",1
